id,facility,cat_id,app_type,exam_day,start_time,site_id,deleted_at
Group 71,Group 71,Group 71,Group 71,Group 71,Group 71,Group 71,Group 71
902,1,5,1,tue,11:30AM,8,Not Deleted
1072,1,5,1,tue,11:30A.M,8,Not Deleted
Group 72,Group 72,Group 72,Group 72,Group 72,Group 72,Group 72,Group 72
553,1,5,1,wed,2:00 PM,9,7/22/19 18:08
1107,1,5,1,wed,02:00P.M,9,Not Deleted
Group 73,Group 73,Group 73,Group 73,Group 73,Group 73,Group 73,Group 73
206,1,5,1,wed,8:30 AM,8,7/29/19 21:07
596,1,5,1,wed,8:30 AM,8,Not Deleted
Group 74,Group 74,Group 74,Group 74,Group 74,Group 74,Group 74,Group 74
1097,1,5,1,wed,11:30A.M,9,4/9/25 18:00
1102,1,5,1,wed,11:30A.M,9,Not Deleted
Group 75,Group 75,Group 75,Group 75,Group 75,Group 75,Group 75,Group 75
581,1,6,1,wed,9:00 AM,7,7/29/19 22:04
590,1,6,1,wed,9:00 AM,7,Not Deleted
Group 76,Group 76,Group 76,Group 76,Group 76,Group 76,Group 76,Group 76
248,1,7,1,mon,10:00 AM,32,1/24/19 18:58
338,1,7,1,mon,10:00 AM,32,1/5/24 19:23
Group 77,Group 77,Group 77,Group 77,Group 77,Group 77,Group 77,Group 77
428,1,7,1,sat,1:00 PM,6,11/7/19 22:27
634,1,7,1,sat,1:00 PM,6,Not Deleted
Group 78,Group 78,Group 78,Group 78,Group 78,Group 78,Group 78,Group 78
365,1,7,1,thur,2:00 PM,7,5/27/19 13:41
807,1,7,1,thur,2:00 PM,7,Not Deleted
Group 79,Group 79,Group 79,Group 79,Group 79,Group 79,Group 79,Group 79
578,1,7,1,thur,9:00 AM,6,Not Deleted
990,1,7,1,thur,09:00A.M,6,Not Deleted
Group 80,Group 80,Group 80,Group 80,Group 80,Group 80,Group 80,Group 80
77,1,7,1,tue,2:00 PM,6,12/10/18 19:36
219,1,7,1,tue,2:00 PM,6,2/1/19 20:27
349,1,7,1,tue,2:00 PM,6,10/8/19 15:28
461,1,7,1,tue,2:00 PM,6,Not Deleted
775,1,7,1,tue,2:00 PM,6,4/9/25 18:00
Group 81,Group 81,Group 81,Group 81,Group 81,Group 81,Group 81,Group 81
189,1,7,1,tue,2:00 PM,8,1/8/19 18:10
238,1,7,1,tue,2:00 PM,8,4/25/19 20:34
297,1,7,1,tue,2:00 PM,8,3/20/23 19:52
Group 82,Group 82,Group 82,Group 82,Group 82,Group 82,Group 82,Group 82
353,1,7,1,tue,8:30 AM,8,9/17/19 23:05
631,1,7,1,tue,8:30 AM,8,8/13/20 20:45
Group 83,Group 83,Group 83,Group 83,Group 83,Group 83,Group 83,Group 83
203,1,7,1,tue,11:00 AM,8,6/25/19 13:51
605,1,7,1,tue,11:00 AM,8,Not Deleted
Group 84,Group 84,Group 84,Group 84,Group 84,Group 84,Group 84,Group 84
253,1,7,1,wed,1:00 PM,7,1/16/19 21:46
